캠페인,광고 소재,콘텐츠,키워드,딥링크,트래킹 링크
결제안내기준변경,-,-,-,ispmobile://ablink?link_target=id&page_id=P1201PG002W&pybcUnifAnncNo=2025100100062406,https://link.paybooc.co.kr/rew1fv
youth_an,-,-,-,ispmobile://ablink?link_target=sub&target_url=https%3A%2F%2Fpayboocgrowth.oopy.io%2Fyouth_ann,https://link.paybooc.co.kr/youth_ann
명세서 알림,-,-,-,ispmobile://ablink?link_target=id&page_id=P0007PG005W,https://link.paybooc.co.kr/7kb
gov_notice,-,명세서,-,ispmobile://ablink?link_target=id&page_id=P0402PG001R,https://link.paybooc.co.kr/govcard
gov_notice,-,-,-,ispmobile://ablink?link_target=id&page_id=P1201PG002W&pybcUnifAnncNo=2025040700056006,https://link.paybooc.co.kr/govnoti
간편결제 등록,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/payadd
바로카드 전용 혜택 페이지,-,-,-,ispmobile://ablink?link_target=id&page_id=P0622PG001W,https://link.paybooc.co.kr/barocard_member
card_useage,-,-,-,ispmobile://ablink?link_target=id&page_id=P0401PG008P,https://link.paybooc.co.kr/ntzlr7
card_useage,-,-,-,ispmobile://ablink?link_target=id&page_id=P0401PG006R,https://link.paybooc.co.kr/card-usage
pb-tw-evt,-,2025-09-pro2,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025080021,https://link.paybooc.co.kr/v8pv7r
npay_card,-,mnycoupon,-,ispmobile://ablink?link_target=id&page_id=P0514PG002W,https://link.paybooc.co.kr/pbmnycoupon
referral-statement,lotto,-,-,ispmobile://ablink?link_target=id&page_id=P0402PG001R,https://link.paybooc.co.kr/lotto_p
hallomeme,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/main
hallomeme,-,2025-09-pro1,-,ispmobile://ablink?link_target=id&page_id=P9917PG005P,https://link.paybooc.co.kr/hallomeme
pb-tw-evt,-,2025-09-pro2,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025080021,https://link.paybooc.co.kr/6qb9fv
pb-tw-evt,-,2025-09-pro1,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025090011,https://link.paybooc.co.kr/iqt2wd
pb-tw-evt,-,2025-09,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025090011,https://link.paybooc.co.kr/cop18q
오늘뭐먹지-홈,-,-,-,ispmobile://ablink?link_target=id&page_id=P9921PG001O,https://link.paybooc.co.kr/what-to-eat
baro-credit-limit,-,-,-,ispmobile://ablink?link_target=id&page_id=P0408PG002W,https://link.paybooc.co.kr/baro_clm
kt_sep_firstclaw,kt_firstclaw,-,kt,ispmobile://ablink?link_target=id&page_id=P0604PG001R&pop=vote,https://link.paybooc.co.kr/b0mzq9
quiz-독도의날,-,10mon-pilot,-,ispmobile://ablink?link_target=id&page_id=P9917PG005P,https://link.paybooc.co.kr/quiz_1025
quiz-한글날,-,10mon-pilot,-,ispmobile://ablink?link_target=id&page_id=P9922PG005P,https://link.paybooc.co.kr/quiz_1009
quiz-추석,-,10mon-pilot,-,ispmobile://ablink?link_target=id&page_id=P9922PG003P,https://link.paybooc.co.kr/quiz_1006
quiz-개천절,-,10mon-pilot,-,ispmobile://ablink?link_target=id&page_id=P9922PG001P,https://link.paybooc.co.kr/quiz_1003
소비쿠폰 프로모션 응모,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG086W,https://link.paybooc.co.kr/min_promo
quiz,-,10mon-pilot,-,ispmobile://ablink?link_target=id&page_id=P9917PG005P,https://link.paybooc.co.kr/quiz-1003
pb-tw-evt,-,2025-09,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025090011,https://link.paybooc.co.kr/2509_tw_evt_web
tokakao,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025080031,https://link.paybooc.co.kr/dpw9yy
test_carduse,-,-,-,ispmobile://ablink?link_target=id&page_id=P0401PG006R,https://link.paybooc.co.kr/carduse1
카드 추가 (카드등록안내 QR),-,-,-,ispmobile://ablink?link_target=id&page_id=P0301PG001N,https://link.paybooc.co.kr/cardadd
달토끼마을,-,-,-,ispmobile://ablink?link_target=id&page_id=P9923PG001R,https://link.paybooc.co.kr/daltokki
moneyevent,-,-,-,ispmobile://ablink?link_target=id&page_id=P9905PG001W,https://link.paybooc.co.kr/arcade
paybooc_share,-,-,-,ispmobile://ablink?link_target=id&page_id=P9917PG005P&invtnCd={invtnCd},https://link.paybooc.co.kr/game456
pb-lovehipjiro-notice,-,2025,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025080009,https://link.paybooc.co.kr/lovehipjiro
newmoneyboxevent,new_benefit,-,-,ispmobile://ablink?link_target=id&page_id=P0601PG001W,https://link.paybooc.co.kr/tfypq3
referral-statement,lotto,-,-,ispmobile://ablink?link_target=id&page_id=P0402PG001R,https://link.paybooc.co.kr/lotto_s
test_myd1,-,-,-,ispmobile://ablink?link_target=id&page_id=P0702PG001W,https://link.paybooc.co.kr/test_myd1
moneyevent,-,-,-,ispmobile://ablink?link_target=id&page_id=P0599PG002P,https://link.paybooc.co.kr/qm84pr
sangsaeng,-,-,-,ispmobile://ablink?link_target=id&page_id=P9920PG001P,https://link.paybooc.co.kr/sangsaeng
sangsaeng-mkt,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W,https://link.paybooc.co.kr/ss-payback
minsaeng-mkt,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025070018,https://link.paybooc.co.kr/sp-minsaeng
mny-balance,-,-,-,ispmobile://ablink?link_target=id&page_id=P0501PG001W,https://link.paybooc.co.kr/mny-balance
minsaeng-letter,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG087P,https://link.paybooc.co.kr/m-letter
서비스중단안내,-,자동충전,-,ispmobile://ablink?link_target=id&page_id=P0501PG001W&pop=MnyChrg,https://link.paybooc.co.kr/keceuw
서비스중단안내,-,오픈뱅킹,-,ispmobile://ablink?link_target=id&page_id=P1201PG002W&pybcUnifAnncNo=2025082100060806,https://link.paybooc.co.kr/ro0lr8
minsaeng-,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG087P,https://link.paybooc.co.kr/0uytrx
feebiz,medicare,-,-,ispmobile://ablink?link_target=id&page_id=P0321PG001W,https://link.paybooc.co.kr/medicare
tokakao,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025070027,https://link.paybooc.co.kr/v21sz8
카카오페이 손해보험,-,-,-,ispmobile://ablink?link_target=id&page_id=P0804PG038P,https://link.paybooc.co.kr/bl4kmb
머니지류쿠폰,-,채용박람회,-,ispmobile://ablink?link_target=id&page_id=P0514PG002W,https://link.paybooc.co.kr/ffteg2
talk,-,-,-,ispmobile://ablink?link_target=id&page_id=P1201PG002W&pybcUnifAnncNo=2025041600056106,https://link.paybooc.co.kr/dpvsue
쇼핑적립 즐겨찾기 ,-,-,-,ispmobile://ablink?link_target=id&page_id=P0609PG007W,https://link.paybooc.co.kr/0afrxe
jandon,-,A,-,ispmobile://ablink?link_target=id&page_id=P0519PG001W,https://link.paybooc.co.kr/jandon
stock-event,-,C,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030013,https://link.paybooc.co.kr/stkevc
stock-event,-,B,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030007,https://link.paybooc.co.kr/stkevb
stock-event,-,A,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030006,https://link.paybooc.co.kr/stkeva
bccard_info,-,bccard_info,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/bccard_card
bccard_info,-,bccard_info,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/bccard_home
naverpay_loan,-,-,-,ispmobile://ablink?link_target=id&page_id=P0899PG005P,https://link.paybooc.co.kr/naverpayloan
pbmoney-expiration,-,check_balance_2,-,ispmobile://ablink?link_target=id&page_id=P0501PG001W,https://link.paybooc.co.kr/083oux
연체대금 즉시결제,-,-,-,ispmobile://ablink?link_target=id&page_id=P1001PG008W,https://link.paybooc.co.kr/overduepay
pbmoney-expiration,-,tips,-,ispmobile://ablink?link_target=id&page_id=P0509PG001P,https://link.paybooc.co.kr/mqw1t3
pbmoney-expiration,-,balance_check,-,ispmobile://ablink?link_target=id&page_id=P0501PG001W,https://link.paybooc.co.kr/poqekk
candy_coupon,-,7mon,-,ispmobile://ablink?link_target=id&page_id=P0628PG003P,https://link.paybooc.co.kr/candy_test
candy_coupon,-,7mon,-,ispmobile://ablink?link_target=id&page_id=P0628PG004P,https://link.paybooc.co.kr/candy_coupon_s3
머니 첫결제 이벤트,-,-,-,ispmobile://ablink?link_target=id&page_id=P0599PG001P,https://link.paybooc.co.kr/moneyfirstoffer
summer2_campaign,-,-,-,ispmobile://ablink?link_target=id&page_id=P9997PG002W,https://link.paybooc.co.kr/summer2
인앱 소비쿠폰 커피 신청 프로모션 ,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG086W,https://link.paybooc.co.kr/min_coffee
소비쿠폰 오픈테스트용 히든게이트,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG086P,https://link.paybooc.co.kr/mtest
kt_ad_barter,money_saving,-,kt_barter_july_push,ispmobile://ablink?link_target=id&page_id=P0604PG001R,https://link.paybooc.co.kr/a73af4
kids-cafe,-,-,-,ispmobile://ablink?link_target=id&page_id=P0012PG001W&affiCd=kids-cafe,https://link.paybooc.co.kr/z1vuck
